Título,,,,
H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,Total,   5 423,"100,00%","100,00%"
,,,,
,No Aplica :,    20,,
,,,,
,AREA # 0218,"Áncash, provincia: Santa",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   123 916,"100,00%","100,00%"
,Total,   123 916,"100,00%","100,00%"
,,,,
,No Aplica :,    299,,
,,,,
,AREA # 0219,"Áncash, provincia: Sihuas",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   7 875,"100,00%","100,00%"
,Total,   7 875,"100,00%","100,00%"
,,,,
,No Aplica :,    29,,
,,,,
,AREA # 0220,"Áncash, provincia: Yungay",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   14 843,"100,00%","100,00%"
,Total,   14 843,"100,00%","100,00%"
,,,,
,No Aplica :,    31,,
,,,,
,AREA # 0301,"Apurímac, provincia: Abancay",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   34 270,"100,00%","100,00%"
,Total,   34 270,"100,00%","100,00%"
,,,,
,No Aplica :,    150,,
,,,,
,AREA # 0302,"Apurímac, provincia: Andahuaylas",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   42 547,"100,00%","100,00%"
,Total,   42 547,"100,00%","100,00%"
,,,,
,No Aplica :,    144,,
,,,,
,AREA # 0303,"Apurímac, provincia: Antabamba",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   4 080,"100,00%","100,00%"
,Total,   4 080,"100,00%","100,00%"
,,,,
,No Aplica :,    27,,
,,,,
,AREA # 0304,"Apurímac, provincia: Aymaraes",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   8 745,"100,00%","100,00%"
,Total,   8 745,"100,00%","100,00%"
,,,,
,No Aplica :,    56,,
,,,,
,AREA # 0305,"Apurímac, provincia: Cotabambas",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   15 248,"100,00%","100,00%"
,Total,   15 248,"100,00%","100,00%"
,,,,
,No Aplica :,    132,,
,,,,
,AREA # 0306,"Apurímac, provincia: Chincheros",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   13 797,"100,00%","100,00%"
,Total,   13 797,"100,00%","100,00%"
,,,,
,No Aplica :,    86,,
,,,,
,AREA # 0307,"Apurímac, provincia: Grau",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   7 361,"100,00%","100,00%"
,Total,   7 361,"100,00%","100,00%"
,,,,
,No Aplica :,    37,,
,,,,
,AREA # 0401,"Arequipa, provincia: Arequipa",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   327 132,"99,81%","99,81%"
,Sí usa gas natural,    628,"0,19%","100,00%"
,Total,   327 760,"100,00%","100,00%"
,,,,
,No Aplica :,    914,,
,,,,
,AREA # 0402,"Arequipa, provincia: Camaná",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   19 069,"100,00%","100,00%"
,Total,   19 069,"100,00%","100,00%"
,,,,
,No Aplica :,    298,,
,,,,
,AREA # 0403,"Arequipa, provincia: Caravelí",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   12 266,"100,00%","100,00%"
,Total,   12 266,"100,00%","100,00%"
,,,,
,No Aplica :,    435,,
,,,,
,AREA # 0404,"Arequipa, provincia: Castilla",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   10 797,"100,00%","100,00%"
,Total,   10 797,"100,00%","100,00%"
,,,,
,No Aplica :,    94,,
,,,,
,AREA # 0405,"Arequipa, provincia: Caylloma",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   29 421,"100,00%","100,00%"
,Total,   29 421,"100,00%","100,00%"
,,,,
,No Aplica :,    219,,
,,,,
,AREA # 0406,"Arequipa, provincia: Condesuyos",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   5 049,"100,00%","100,00%"
,Total,   5 049,"100,00%","100,00%"
,,,,
,No Aplica :,    174,,
,,,,
,AREA # 0407,"Arequipa, provincia: Islay",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   16 767,"100,00%","100,00%"
,Total,   16 767,"100,00%","100,00%"
,,,,
,No Aplica :,    126,,
,,,,
,AREA # 0408,"Arequipa, provincia: La Unión",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   4 393,"100,00%","100,00%"
,Total,   4 393,"100,00%","100,00%"
,,,,
,No Aplica :,    63,,
,,,,
,AREA # 0501,"Ayacucho, provincia: Huamanga",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   78 266,"100,00%","100,00%"
,Total,   78 266,"100,00%","100,00%"
,,,,
,No Aplica :,    236,,
,,,,
,AREA # 0502,"Ayacucho, provincia: Cangallo",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   10 419,"100,00%","100,00%"
,Total,   10 419,"100,00%","100,00%"
,,,,
,No Aplica :,    49,,
,,,,
,AREA # 0503,"Ayacucho, provincia: Huanca Sancos",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   3 093,"100,00%","100,00%"
,Total,   3 093,"100,00%","100,00%"
,,,,
,No Aplica :,    37,,
,,,,
,AREA # 0504,"Ayacucho, provincia: Huanta",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   26 084,"100,00%","100,00%"
,Total,   26 084,"100,00%","100,00%"
,,,,
,No Aplica :,    218,,
,,,,
,AREA # 0505,"Ayacucho, provincia: La Mar",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   21 114,"100,00%","100,00%"
,Total,   21 114,"100,00%","100,00%"
,,,,
,No Aplica :,    63,,
,,,,
,AREA # 0506,"Ayacucho, provincia: Lucanas",,
,,,,
