Título,,,,
V: Abastecimiento de agua en la vivienda,,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de V: Abastecimiento de agua en la vivienda,,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Vecino,    60,"0,19%","100,00%"
,Total,   32 277,"100,00%","100,00%"
,,,,
,No Aplica :,   8 594,,
,,,,
,AREA # 2202,"San Martín, provincia: Bellavista",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   6 085,"41,82%","41,82%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 704,"11,71%","53,53%"
,Pilón o pileta de uso público,    688,"4,73%","58,26%"
,Camión - cisterna u otro similar,    88,"0,60%","58,86%"
,Pozo (agua subterránea),    952,"6,54%","65,40%"
,Manantial o puquio,    159,"1,09%","66,50%"
,"Río, acequia, lago, laguna",   4 690,"32,23%","98,73%"
,Otro,    49,"0,34%","99,07%"
,Vecino,    136,"0,93%","100,00%"
,Total,   14 551,"100,00%","100,00%"
,,,,
,No Aplica :,   3 664,,
,,,,
,AREA # 2203,"San Martín, provincia: El Dorado",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   5 474,"59,69%","59,69%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 189,"12,96%","72,65%"
,Pilón o pileta de uso público,    614,"6,70%","79,35%"
,Camión - cisterna u otro similar,    6,"0,07%","79,41%"
,Pozo (agua subterránea),    345,"3,76%","83,18%"
,Manantial o puquio,    73,"0,80%","83,97%"
,"Río, acequia, lago, laguna",   1 398,"15,24%","99,21%"
,Otro,    21,"0,23%","99,44%"
,Vecino,    51,"0,56%","100,00%"
,Total,   9 171,"100,00%","100,00%"
,,,,
,No Aplica :,   1 524,,
,,,,
,AREA # 2204,"San Martín, provincia: Huallaga",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   5 405,"69,88%","69,88%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    423,"5,47%","75,35%"
,Pilón o pileta de uso público,    243,"3,14%","78,49%"
,Camión - cisterna u otro similar,    3,"0,04%","78,53%"
,Pozo (agua subterránea),    338,"4,37%","82,90%"
,Manantial o puquio,    37,"0,48%","83,37%"
,"Río, acequia, lago, laguna",   1 204,"15,57%","98,94%"
,Otro,    49,"0,63%","99,57%"
,Vecino,    33,"0,43%","100,00%"
,Total,   7 735,"100,00%","100,00%"
,,,,
,No Aplica :,   1 588,,
,,,,
,AREA # 2205,"San Martín, provincia: Lamas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   12 216,"56,85%","56,85%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   2 557,"11,90%","68,74%"
,Pilón o pileta de uso público,   1 060,"4,93%","73,68%"
,Camión - cisterna u otro similar,    20,"0,09%","73,77%"
,Pozo (agua subterránea),   3 160,"14,70%","88,47%"
,Manantial o puquio,    247,"1,15%","89,62%"
,"Río, acequia, lago, laguna",   2 136,"9,94%","99,56%"
,Otro,    59,"0,27%","99,84%"
,Vecino,    35,"0,16%","100,00%"
,Total,   21 490,"100,00%","100,00%"
,,,,
,No Aplica :,   3 439,,
,,,,
,AREA # 2206,"San Martín, provincia: Mariscal Cáceres",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   9 896,"60,54%","60,54%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 651,"10,10%","70,64%"
,Pilón o pileta de uso público,    562,"3,44%","74,07%"
,Camión - cisterna u otro similar,    41,"0,25%","74,33%"
,Pozo (agua subterránea),    794,"4,86%","79,18%"
,Manantial o puquio,    131,"0,80%","79,98%"
,"Río, acequia, lago, laguna",   3 215,"19,67%","99,65%"
,Otro,    29,"0,18%","99,83%"
,Vecino,    28,"0,17%","100,00%"
,Total,   16 347,"100,00%","100,00%"
,,,,
,No Aplica :,   3 857,,
,,,,
,AREA # 2207,"San Martín, provincia: Picota",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   6 050,"57,42%","57,42%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 297,"12,31%","69,73%"
,Pilón o pileta de uso público,    828,"7,86%","77,58%"
,Camión - cisterna u otro similar,    76,"0,72%","78,31%"
,Pozo (agua subterránea),    880,"8,35%","86,66%"
,Manantial o puquio,    101,"0,96%","87,62%"
,"Río, acequia, lago, laguna",   1 265,"12,01%","99,62%"
,Otro,    27,"0,26%","99,88%"
,Vecino,    13,"0,12%","100,00%"
,Total,   10 537,"100,00%","100,00%"
,,,,
,No Aplica :,   2 564,,
,,,,
,AREA # 2208,"San Martín, provincia: Rioja",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   22 832,"71,51%","71,51%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 915,"12,26%","83,78%"
,Pilón o pileta de uso público,   1 072,"3,36%","87,13%"
,Camión - cisterna u otro similar,    19,"0,06%","87,19%"
,Pozo (agua subterránea),   2 525,"7,91%","95,10%"
,Manantial o puquio,    126,"0,39%","95,50%"
,"Río, acequia, lago, laguna",   1 248,"3,91%","99,40%"
,Otro,    99,"0,31%","99,71%"
,Vecino,    91,"0,29%","100,00%"
,Total,   31 927,"100,00%","100,00%"
,,,,
,No Aplica :,   9 069,,
,,,,
,AREA # 2209,"San Martín, provincia: San Martín",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   39 283,"80,74%","80,74%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 572,"7,34%","88,08%"
,Pilón o pileta de uso público,   1 467,"3,02%","91,09%"
,Camión - cisterna u otro similar,    230,"0,47%","91,57%"
,Pozo (agua subterránea),   1 757,"3,61%","95,18%"
,Manantial o puquio,    261,"0,54%","95,71%"
,"Río, acequia, lago, laguna",   1 868,"3,84%","99,55%"
,Otro,    88,"0,18%","99,73%"
,Vecino,    129,"0,27%","100,00%"
,Total,   48 655,"100,00%","100,00%"
,,,,
,No Aplica :,   11 342,,
,,,,
,AREA # 2210,"San Martín, provincia: Tocache",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   9 569,"52,87%","52,87%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 861,"10,28%","63,15%"
,Pilón o pileta de uso público,    757,"4,18%","67,33%"
,Camión - cisterna u otro similar,    15,"0,08%","67,41%"
,Pozo (agua subterránea),   3 745,"20,69%","88,10%"
,Manantial o puquio,    106,"0,59%","88,69%"
,"Río, acequia, lago, laguna",   1 895,"10,47%","99,16%"
,Otro,    116,"0,64%","99,80%"
,Vecino,    36,"0,20%","100,00%"
,Total,   18 100,"100,00%","100,00%"
,,,,
,No Aplica :,   2 346,,
,,,,
,AREA # 2301,"Tacna, provincia: Tacna",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   66 286,"73,83%","73,83%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 645,"4,06%","77,89%"
,Pilón o pileta de uso público,   13 115,"14,61%","92,50%"
,Camión - cisterna u otro similar,   3 477,"3,87%","96,37%"
,Pozo (agua subterránea),   2 502,"2,79%","99,16%"
,Manantial o puquio,    57,"0,06%","99,22%"
,"Río, acequia, lago, laguna",    460,"0,51%","99,73%"
,Otro,    95,"0,11%","99,84%"
,Vecino,    144,"0,16%","100,00%"
,Total,   89 781,"100,00%","100,00%"
,,,,
,No Aplica :,   46 792,,
,,,,
,AREA # 2302,"Tacna, provincia: Candarave",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 091,"45,21%","45,21%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    40,"1,66%","46,87%"
,Pilón o pileta de uso público,    19,"0,79%","47,66%"
,Pozo (agua subterránea),    747,"30,96%","78,62%"
,Manantial o puquio,    264,"10,94%","89,56%"
,"Río, acequia, lago, laguna",    248,"10,28%","99,83%"
,Otro,    1,"0,04%","99,88%"
,Vecino,    3,"0,12%","100,00%"
,Total,   2 413,"100,00%","100,00%"
,,,,
,No Aplica :,   2 045,,
,,,,
,AREA # 2303,"Tacna, provincia: Jorge Basadre",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   2 447,"79,84%","79,84%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    93,"3,03%","82,87%"
,Pilón o pileta de uso público,    145,"4,73%","87,60%"
,Camión - cisterna u otro similar,    195,"6,36%","93,96%"
,Pozo (agua subterránea),    68,"2,22%","96,18%"
,Manantial o puquio,    5,"0,16%","96,35%"
,"Río, acequia, lago, laguna",    107,"3,49%","99,84%"
,Otro,    4,"0,13%","99,97%"
,Vecino,    1,"0,03%","100,00%"
,Total,   3 065,"100,00%","100,00%"
,,,,
,No Aplica :,   2 800,,
,,,,
,AREA # 2304,"Tacna, provincia: Tarata",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 530,"66,93%","66,93%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    34,"1,49%","68,42%"
,Pilón o pileta de uso público,    16,"0,70%","69,12%"
,Pozo (agua subterránea),    316,"13,82%","82,94%"
,Manantial o puquio,    84,"3,67%","86,61%"
,"Río, acequia, lago, laguna",    300,"13,12%","99,74%"
,Otro,    3,"0,13%","99,87%"
,Vecino,    3,"0,13%","100,00%"
,Total,   2 286,"100,00%","100,00%"
,,,,
,No Aplica :,   2 263,,
,,,,
,AREA # 2401,"Tumbes, provincia: Tumbes",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   30 193,"72,60%","72,60%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 796,"9,13%","81,72%"
,Pilón o pileta de uso público,   1 710,"4,11%","85,83%"
,Camión - cisterna u otro similar,   2 449,"5,89%","91,72%"
,Pozo (agua subterránea),    311,"0,75%","92,47%"
,Manantial o puquio,    14,"0,03%","92,50%"
,"Río, acequia, lago, laguna",   1 426,"3,43%","95,93%"
,Otro,    425,"1,02%","96,95%"
,Vecino,   1 267,"3,05%","100,00%"
,Total,   41 591,"100,00%","100,00%"
,,,,
,No Aplica :,   11 412,,
,,,,
,AREA # 2402,"Tumbes, provincia: Contralmirante Villar",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   3 515,"62,51%","62,51%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    616,"10,96%","73,47%"
,Pilón o pileta de uso público,    345,"6,14%","79,60%"
,Camión - cisterna u otro similar,    773,"13,75%","93,35%"
,Pozo (agua subterránea),    148,"2,63%","95,98%"
,Manantial o puquio,    9,"0,16%","96,14%"
,"Río, acequia, lago, laguna",    6,"0,11%","96,25%"
,Otro,    34,"0,60%","96,85%"
,Vecino,    177,"3,15%","100,00%"
,Total,   5 623,"100,00%","100,00%"
,,,,
,No Aplica :,   2 738,,
,,,,
,AREA # 2403,"Tumbes, provincia: Zarumilla",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   7 943,"58,03%","58,03%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   2 312,"16,89%","74,92%"
,Pilón o pileta de uso público,    592,"4,32%","79,24%"
,Camión - cisterna u otro similar,   1 908,"13,94%","93,18%"
,Pozo (agua subterránea),    207,"1,51%","94,70%"
,"Río, acequia, lago, laguna",    120,"0,88%","95,57%"
,Otro,    167,"1,22%","96,79%"
,Vecino,    439,"3,21%","100,00%"
,Total,   13 688,"100,00%","100,00%"
,,,,
,No Aplica :,   5 690,,
,,,,
,AREA # 2501,"Ucayali, provincia: Coronel Portillo",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   43 393,"48,24%","48,24%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   12 820,"14,25%","62,49%"
,Pilón o pileta de uso público,   2 654,"2,95%","65,44%"
,Camión - cisterna u otro similar,    876,"0,97%","66,41%"
,Pozo (agua subterránea),   24 088,"26,78%","93,19%"
,Manantial o puquio,    29,"0,03%","93,22%"
,"Río, acequia, lago, laguna",   3 929,"4,37%","97,59%"
,Otro,    361,"0,40%","97,99%"
,Vecino,   1 808,"2,01%","100,00%"
,Total,   89 958,"100,00%","100,00%"
,,,,
,No Aplica :,   19 215,,
,,,,
,AREA # 2502,"Ucayali, provincia: Atalaya",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   3 164,"26,09%","26,09%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 507,"12,42%","38,51%"
,Pilón o pileta de uso público,    671,"5,53%","44,04%"
,Camión - cisterna u otro similar,    8,"0,07%","44,11%"
,Pozo (agua subterránea),   1 677,"13,83%","57,94%"
,Manantial o puquio,    242,"2,00%","59,93%"
,"Río, acequia, lago, laguna",   4 745,"39,12%","99,05%"
,Otro,    80,"0,66%","99,71%"
,Vecino,    35,"0,29%","100,00%"
,Total,   12 129,"100,00%","100,00%"
,,,,
,No Aplica :,   2 718,,
,,,,
,AREA # 2503,"Ucayali, provincia: Padre Abad",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   7 275,"48,48%","48,48%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 955,"13,03%","61,51%"
,Pilón o pileta de uso público,    784,"5,22%","66,73%"
,Camión - cisterna u otro similar,    91,"0,61%","67,34%"
,Pozo (agua subterránea),   2 516,"16,77%","84,11%"
,Manantial o puquio,    148,"0,99%","85,09%"
,"Río, acequia, lago, laguna",   2 044,"13,62%","98,71%"
,Otro,    106,"0,71%","99,42%"
,Vecino,    87,"0,58%","100,00%"
,Total,   15 006,"100,00%","100,00%"
,,,,
,No Aplica :,   6 518,,
,,,,
,AREA # 2504,"Ucayali, provincia: Purús",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,    2,"0,29%","0,29%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    24,"3,51%","3,81%"
,Pozo (agua subterránea),    485,"71,01%","74,82%"
,Manantial o puquio,    8,"1,17%","75,99%"
,"Río, acequia, lago, laguna",    163,"23,87%","99,85%"
,Vecino,    1,"0,15%","100,00%"
,Total,    683,"100,00%","100,00%"
,,,,
,No Aplica :,    321,,
,,,,
,RESUMEN,,,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,  5 162 821,"67,06%","67,06%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   867 340,"11,27%","78,32%"
,Pilón o pileta de uso público,   362 121,"4,70%","83,03%"
,Camión - cisterna u otro similar,   324 832,"4,22%","87,25%"
,Pozo (agua subterránea),   562 275,"7,30%","94,55%"
,Manantial o puquio,   97 712,"1,27%","95,82%"
,"Río, acequia, lago, laguna",   249 571,"3,24%","99,06%"
,Otro,   26 056,"0,34%","99,40%"
,Vecino,   46 172,"0,60%","100,00%"
,Total,  7 698 900,"100,00%","100,00%"
,,,,
,No Aplica :,  2 434 950,,
,,,,
Fuente: Censos Nacionales de Población y Vivienda 2017,,,,
Instituto Nacional de Estadística e Informática (INEI) - PERÚ,,,,
