Título,,,,
V: Abastecimiento de agua en la vivienda,,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de V: Abastecimiento de agua en la vivienda,,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Pilón o pileta de uso público,   1 436,"10,53%","73,78%"
,Camión - cisterna u otro similar,    7,"0,05%","73,83%"
,Pozo (agua subterránea),   2 337,"17,13%","90,97%"
,Manantial o puquio,    552,"4,05%","95,01%"
,"Río, acequia, lago, laguna",    593,"4,35%","99,36%"
,Otro,    21,"0,15%","99,52%"
,Vecino,    66,"0,48%","100,00%"
,Total,   13 639,"100,00%","100,00%"
,,,,
,No Aplica :,   3 279,,
,,,,
,AREA # 1311,"La Lbertad, provincia: Gran Chimú",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   2 766,"35,57%","35,57%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 114,"14,32%","49,89%"
,Pilón o pileta de uso público,    60,"0,77%","50,66%"
,Camión - cisterna u otro similar,    8,"0,10%","50,77%"
,Pozo (agua subterránea),   2 375,"30,54%","81,30%"
,Manantial o puquio,    679,"8,73%","90,03%"
,"Río, acequia, lago, laguna",    742,"9,54%","99,58%"
,Otro,    11,"0,14%","99,72%"
,Vecino,    22,"0,28%","100,00%"
,Total,   7 777,"100,00%","100,00%"
,,,,
,No Aplica :,   3 030,,
,,,,
,AREA # 1312,"La Lbertad, provincia: Virú",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   16 327,"74,65%","74,65%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 360,"6,22%","80,87%"
,Pilón o pileta de uso público,    395,"1,81%","82,67%"
,Camión - cisterna u otro similar,    697,"3,19%","85,86%"
,Pozo (agua subterránea),   2 419,"11,06%","96,92%"
,Manantial o puquio,    155,"0,71%","97,63%"
,"Río, acequia, lago, laguna",    391,"1,79%","99,41%"
,Otro,    53,"0,24%","99,66%"
,Vecino,    75,"0,34%","100,00%"
,Total,   21 872,"100,00%","100,00%"
,,,,
,No Aplica :,   5 263,,
,,,,
,AREA # 1401,"Lambayeque, provincia: Chiclayo",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   160 875,"83,05%","83,05%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   11 395,"5,88%","88,94%"
,Pilón o pileta de uso público,   5 735,"2,96%","91,90%"
,Camión - cisterna u otro similar,   4 573,"2,36%","94,26%"
,Pozo (agua subterránea),   6 956,"3,59%","97,85%"
,Manantial o puquio,    23,"0,01%","97,86%"
,"Río, acequia, lago, laguna",   2 055,"1,06%","98,92%"
,Otro,    837,"0,43%","99,35%"
,Vecino,   1 250,"0,65%","100,00%"
